NAME
Prize Redemption
NPCS
celadon-prize-clerk clerk 0 1 DOWN
INTERACTIONS
MENU:ALERT:I always thought I was going to win it back...
END
TELEPORT
4 8 celadon-city 36 24
5 8 celadon-city 36 24
DATA
545 545 545 545 545 545 545 545 545 545
546 546 591 546 591 546 591 546 546 546
509 509 509 509 509 509 509 509 509 509
507 507 507 507 507 507 507 507 507 507
507 507 507 507 507 507 507 507 507 507
507 507 507 507 507 507 507 507 507 507
543 543 543 543 507 507 543 543 543 543
544 544 544 544 507 507 544 544 544 544
82   82  82 166 166
