NAME
Power Plant
NPCS
power-plant-orb1 orb 8 25
INTERACTIONS
GIVE_ITEM:CARBOS|DEACTIVATE:power-plant-orb1
END
power-plant-orb2 orb 10 20
INTERACTIONS
MENU:ALERT:Bzzzt!|WILD_BATTLE:101-101:65|{NO_ADVANCE}{DEACTIVATE:power-plant-orb2}
END
power-plant-orb3 orb 33 18
INTERACTIONS
MENU:ALERT:Bzzzt!|WILD_BATTLE:101-101:65|{NO_ADVANCE}{DEACTIVATE:power-plant-orb3}
END
power-plant-orb4 orb 26 18
INTERACTIONS
MENU:ALERT:Bzzzt!|WILD_BATTLE:101-101:65|{NO_ADVANCE}{DEACTIVATE:power-plant-orb4}
END
power-plant-orb5 orb 21 32
INTERACTIONS
GIVE_ITEM:TM33|DEACTIVATE:power-plant-orb5
END
power-plant-orb6 orb 24 34
INTERACTIONS
MENU:ALERT:Bzzzt!|WILD_BATTLE:101-101:65|{NO_ADVANCE}{DEACTIVATE:power-plant-orb6}
END
power-plant-orb7 orb 22 25
INTERACTIONS
MENU:ALERT:Bzzzt!|WILD_BATTLE:101-101:65|{NO_ADVANCE}{DEACTIVATE:power-plant-orb7}
END
power-plant-orb8 orb 27 28
INTERACTIONS
MENU:ALERT:Bzzzt!|WILD_BATTLE:101-101:65|{NO_ADVANCE}{DEACTIVATE:power-plant-orb8}
END
TELEPORT
5 36 power-plant-outside 9 42
6 36 power-plant-outside 9 42
0 11 power-plant-outside 9 42
ENCOUNTERS
25 51 82 89 101 125
MEGA_ENCOUNTERS
135
LEVELS
55-60
MEGA_LEVELS
65-70
DATA
82  594 597 615 615 615 615 615 615 594 597 597 597 597 597 597 595 597 597 597 597 597 597 597 597 597 595 597 597 597 597 597 597 597 597 597 597 597 597 597 595
82  599 600 617 617 617 617 617 617 599 483 483 483 483 483 483 599 483 483 483 483 483 483 483 483 483 599 483 483 483 483 483 483 483 483 483 483 483 483 483 599
82  599 600 483 483 483 483 600 600 613 600 483 483 600 483 483 599 483 483 483 483 483 483 600 600 600 599 483 483 487 487 487 487 487 487 487 487 483 483 483 599
82  599 600 600 600 483 483 600 600 600 600 600 600 600 483 483 599 483 483 600 600 600 600 600 600 600 599 483 483 600 487 487 487 487 487 600 600 483 483 483 599
82  599 600 600 600 600 600 600 600 594 597 598 600 596 597 597 595 597 598 600 596 615 615 614 600 600 599 483 600 600 483 483 483 487 487 487 600 600 600 483 599
82  599 600 600 600 600 600 600 600 599 483 600 600 600 600 483 599 600 600 600 600 617 617 599 600 600 599 483 600 600 483 483 483 487 487 487 487 600 600 483 599
82  594 597 597 598 600 600 596 597 599 483 483 600 600 483 483 599 597 598 600 600 483 483 599 600 600 599 483 483 600 600 483 483 483 600 600 600 600 483 483 599
82  599 600 600 600 600 600 600 600 599 483 483 600 600 483 483 599 600 600 600 600 483 483 599 600 600 599 483 483 600 600 483 483 483 600 600 600 600 483 483 599
82  599 600 600 600 600 600 600 600 599 483 483 483 600 483 483 599 600 600 600 600 600 483 599 600 600 599 483 600 600 600 483 483 600 600 483 483 483 483 483 599
82  599 600 600 600 600 600 600 600 599 483 483 483 600 483 483 599 600 600 600 600 600 483 599 600 600 599 483 600 600 600 483 483 600 600 483 483 483 483 483 599
82  613 600 600 600 600 600 600 600 599 483 483 600 600 600 600 613 600 600 600 600 600 600 599 600 600 599 600 600 600 600 483 600 600 600 600 483 483 483 483 599
166 600 600 600 600 600 600 600 600 599 483 483 600 600 600 600 600 600 600 600 600 600 600 599 600 600 599 600 600 600 600 483 600 600 600 600 483 483 483 483 599
82  594 597 597 597 597 597 597 597 594 597 597 597 597 597 597 595 597 598 600 596 615 615 599 600 600 599 600 600 600 600 600 600 600 600 600 600 600 600 600 599
82  599 483 483 483 483 483 600 600 599 600 600 600 483 483 483 599 600 600 600 600 617 617 599 600 600 613 597 597 597 598 600 600 596 597 597 597 597 597 597 599
82  599 483 483 483 600 600 600 600 613 600 600 600 600 483 483 599 600 600 600 600 600 600 599 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 599
82  599 483 600 600 600 600 600 600 600 600 600 600 600 483 483 599 597 597 597 597 597 597 596 597 597 597 597 597 597 597 597 597 597 597 597 598 614 600 600 599
82  599 483 600 600 600 600 600 600 600 600 600 600 600 600 483 599 483 483 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 599 600 600 599
82  599 483 600 600 600 600 600 600 614 600 600 600 600 600 483 599 483 483 487 487 487 487 487 487 600 600 487 487 487 487 487 487 487 487 600 600 599 600 600 599
82  594 615 615 615 598 600 600 600 599 483 483 483 483 600 483 599 483 483 483 483 487 487 487 487 487 600 487 487 487 487 487 487 600 600 600 600 599 600 600 599
82  599 616 617 617 600 600 600 600 599 483 483 483 483 600 483 599 600 600 483 483 600 487 487 487 487 487 487 487 487 487 487 487 487 487 600 600 599 600 600 599
82  599 616 600 600 600 600 600 600 599 600 483 483 600 600 600 613 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 599 600 600 599
82  599 617 600 600 600 600 600 600 599 600 600 600 600 600 600 600 600 600 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 487 600 600 599 600 600 599
82  599 600 600 483 615 615 615 615 598 600 600 596 615 615 615 595 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 599 600 600 599
