NAME
Rock Tunnel
NPCS
rock-tunnel-guy1 man2 23 8 LEFT
FORCE_INTERACTION
-1 0
-2 0
-3 0
END
INTERACTIONS
!:rock-tunnel-guy1|MOVE_TO_PLAYER|MENU:ALERT:POK{e-accent}MON fight! Ready, go!|BATTLE:rock-tunnel-guy1|{NO_ADVANCE}{DISABLE_FORCE}
MENU:ALERT:Oh well, I'll get a ZUBAT as I go!
END
rock-tunnel-guy2 man2 26 72 DOWN
FORCE_INTERACTION
0 1
0 2
0 3
END
INTERACTIONS
!:rock-tunnel-guy2|MOVE_TO_PLAYER|MENU:ALERT:I draw POK{e-accent}MON when I'm home.|BATTLE:rock-tunnel-guy2|{NO_ADVANCE}{DISABLE_FORCE}
MENU:ALERT:I'm an artist, not a fighter.
END
rock-tunnel-girl1 girl 14 70 RIGHT
FORCE_INTERACTION
1 0
2 0
3 0
END
INTERACTIONS
!:rock-tunnel-girl1|MOVE_TO_PLAYER|MENU:ALERT:I don't often come here, but I will fight you.|BATTLE:rock-tunnel-girl1|{NO_ADVANCE}{DISABLE_FORCE}
MENU:ALERT:I like tiny POK{e-accent}MON, big ones are too scary!
END
rock-tunnel-guy3 man2 20 64 RIGHT
FORCE_INTERACTION
1 0
2 0
3 0
4 0
END
INTERACTIONS
!:rock-tunnel-guy3|MOVE_TO_PLAYER|MENU:ALERT:Do you know about costume players?|BATTLE:rock-tunnel-guy3|{NO_ADVANCE}{DISABLE_FORCE}
MENU:ALERT:Costume players dress up as POK{e-accent}MON for fun.
END
TRAINERS
rock-tunnel-guy1 50 1.0 0.4 POK{e-accent}MANIAC pokemaniac.png {POK{e-accent}MANIAC: Game over!}{} 104-104:23|79-79:23
rock-tunnel-guy2 50 1.0 0.4 POK{e-accent}MANIAC pokemaniac.png {POK{e-accent}MANIAC: Whew! I'm exhausted!}{} 79-79:25
rock-tunnel-girl1 20 0.35 0.35 JR.TRAINER{FEMALE} jrtrainerf.png {JR.TRAINER{FEMALE}: Oh! I lost!}{} 43-43:23|1-1:24
rock-tunnel-guy3 50 1.0 0.4 POK{e-accent}MANIAC pokemaniac.png {POK{e-accent}MANIAC: Well, that's that.}{} 5-5:22|104-5:22
END
TELEPORT
15 3 power-plant-outside 11 20
37 3 rock-tunnel 32 67
33 67 rock-tunnel 36 3
27 45 rock-tunnel 5 2
5 3 rock-tunnel 27 46
17 11 rock-tunnel 22 53
23 53 rock-tunnel 16 11
3 45 rock-tunnel 37 16
37 17 rock-tunnel 3 46
ENCOUNTERS
41 64 66 74 92 95 104
LEVELS
18-24
DATA
219 210 210 221 206 210 210 207 219 210 210 210 210 221 206 210 210 207 219 210 210 210 210 210 210 210 210 221 219 210 210 210 210 221 206 207 206 207 206 207
215 224 224 218 202 211 211 203 215 224 224 224 224 218 202 211 211 203 215 224 224 224 224 224 224 224 224 218 215 224 224 224 224 218 202 203 202 203 202 203
215 224 224 218 201 201 201 201 215 224 224 224 224 218 201 201 201 201 215 224 224 224 224 224 224 224 224 218 215 224 224 224 224 218 201 201 201 201 206 207
215 224 224 218 201 227 201 201 215 224 224 224 224 218 201 227 201 201 214 216 216 216 216 216 216 216 216 217 214 216 216 216 216 217 201 201 201 227 202 203
215 224 224 218 201 201 201 201 215 224 224 224 224 218 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 206 207 201 201 201 201 206 207
214 216 216 217 201 201 201 201 214 216 216 216 216 217 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 202 203 201 201 201 201 204 205
206 207 201 201 201 201 201 201 201 201 201 201 206 207 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 206 207 201 201 201 201 204 205
204 205 201 201 201 201 201 201 201 201 201 201 204 205 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 202 203 201 201 201 201 202 203
204 205 201 201 201 201 201 201 201 201 201 201 204 205 206 210 210 207 206 207 201 201 201 201 206 207 206 210 210 207 206 210 210 207 201 201 201 201 206 207
202 203 201 201 201 201 201 201 201 201 201 201 202 203 202 211 211 203 202 203 201 201 201 201 202 203 202 211 211 203 202 211 211 203 201 201 201 201 204 205
206 207 201 201 201 201 206 207 201 201 201 201 206 207 201 201 201 201 206 207 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 204 205
204 205 201 201 201 201 204 205 201 201 201 201 204 205 201 201 201 227 204 205 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 202 203
204 205 201 201 201 201 204 205 201 201 201 201 204 205 201 201 201 201 204 205 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 206 207
202 203 201 201 201 201 202 203 201 201 201 201 202 203 201 201 201 201 202 203 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 201 204 205
206 207 201 201 201 201 206 207 201 201 201 201 201 201 201 201 201 201 206 207 206 210 210 207 206 210 210 207 206 210 210 207 206 210 210 207 206 207 204 205
204 205 201 201 201 201 204 205 201 201 201 201 201 201 201 201 201 201 202 203 202 211 211 203 202 211 211 203 202 211 211 203 202 211 211 203 202 203 202 203
