NAME
Route 13
NPCS
route12-sign1 blank 17 15
INTERACTIONS
MENU:ALERT:ROUTE 12 {NEWLINE} North to LAVENDER
END
route12-fat1 fat 18 33 LEFT
FORCE_INTERACTION
-1 0
-2 0
-3 0
-4 0
END
TRAINERS
route12-man2 20 0.50 0.50 JR.TRAINER{MALE} jrtrainerm.png {JR.TRAINER{MALE}: Oww!}{} 33-33:42|30-30:42
END
TELEPORT
62 0 route12 14 110
63 0 route12 15 110
ENCOUNTERS
18 45 49 70 83 132
WATER_ENCOUNTERS_OLD
129
WATER_ENCOUNTERS_GOOD
60 118
WATER_ENCOUNTERS_SUPER
73 79 99 117 119
LEVELS
36-42
DATA
0    56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  76  76  76  76  76  76  76   4   4   4   4   1  76 238 238  81  81  81  81  81  81  81 656  81  81  81  81
0    56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56   2   3  76  76  76  76  76  76  76  76  76  76  76  76  76  76 238 238  81  81  81  81  81  81  81 656  81  81  81  81
0    56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76 238 238  81  81  81  81  81  81  81 656  81  81  81  81
0    56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76 238 238  81  81  81  81  81  81  81 656  81  81  81  81
0    55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  76  76   1   1   1   1   1   1   1   1   1   1   1   1  76  76 238 238  81  81  81  81  81  81  81 656  81  81  81  81
0    56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56   2   3  56  56  56  56  56  56  56  56  56  56  56  55   2  56  56  56  56  56  56   1   1   1   1   4   4   4   4   4   4   4   4   4   4   1  76 238 238  81  81  81  81  81  81  81 656  81  81  81  81
0    56  56  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55   3   2  56  56  55  55  55  55  55  55  55  56  56  55   3  55  55  55  55  55   5  76  76   1   1   4   4   4   4   4   4   4   4   4   4   1  76 238 238  81  81  81  81  81  81  81 656  81  81  81  81
0    56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  55   2  56  56  56  56  56  56  56  56  56  56  56  56  56   2   3  76  76  76   1   4   4   4   4   4   4   4   4   4   4   1  76 238 238  81  81  81  81  81  81  81 656  81  81  81  81
0    55  55  55  55  55  55  55  55  55  55  56  56  55  55  55  55  55  55  55  55  55  55  56  56  55  55  55  55  55   3  55  55  55  55  55  55  55  55  55  55  55  55  55   3   2  76  76  76   1   4   4   4   4   4   4   4   4   4   4   1  76 238 238  81  81  81  81  81  81  81 656  81  81  81  81
0    56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  55   2  56  56  56  56  56  56  56  56  56  56  56  56  56  55   2  56  56   2   3  76  76  76  76   1   1   1   1   1   1   1   1   1   1  76  76 238 238  81  81  81  81  81  81  81 656  81  81  81  81
0    55  55  56  56  55  55  55  55  55  55  55  55  55  55  55  55  56  56  55  55  55  55  55  55  55   3  55  55  55  55  55  55  55  55  55  55  55  56  56  55   3  55  55   3   2  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76 238 238  81  81  81  81  81  81  81 656  81  81  81  81
0    56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  55   2  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  55   2  56  56  56  56  56  56  56  56  56  56 238 238 238 238 238 238 238 238 238 238 238 238 238 238 238 238  81  81  81  81  81  81  81 656  81  81  81  81
0    55  55  55  55  55  55  55  55  56  56  55  55  55  55  55  55  55  55  55   3  55  55  55  55  55  55  55  55  55  55  55  55  55  56  56  55   3  55  55  55  55  55   5  55  55  56  56 238 238 238 238 238 238 238 238 238 238 238 238 238 238 238 238  81  81  81  81  81  81  81 656  81  81  81  81
0    56  56  56  56  56  56   1   1 163 163   1   1  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  55   2  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56 261 261 261 261 261 261 261 261 261 261 261 261 261 261 261 261  81  81  81  81  81  81  81 656  81  81  81  81
0    56  56  56  56  56  56   1   1 163 163   1   1  56   5  55  55  55  55  56  56  55  55  55  55  55  55  55   5  55   3  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  55  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81 656  81  81  81  81
0    56  56  56  56  56  56   1   1 163 163   1   0  76  76  76  76   0   0   0   0   0   0   0   0   0   0   0   0   0   0  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88  88 656  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81 656  81  81  81  81
0    56  56  56  56  56  56   1   1 163 163   1   0  76  76  76  76   1   1   1   1   1   1   1   1   1   1   1   1   1   1  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81 656  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81  81 656  81  81  81  81
