NAME
Saffron City
NPCS
saffron-city-rocket-house1 rocket 16 13
INTERACTIONS
MENU:ALERT:What do you want? Get lost!
END
saffron-city-rocket-house2 rocket 14 19
INTERACTIONS
MENU:ALERT:Buzz off, kid!
END
saffron-city-rocket-house3 rocket 22 19
INTERACTIONS
MENU:ALERT:SAFFRON belongs to TEAM ROCKET!
END
saffron-city-rocket-silph rocket 27 29
INTERACTIONS
MENU:ALERT:I'm a security guard.|MENU:ALERT:Suspicious kids I don't allow in!
END
saffron-city-rocket-gym rocket 43 11
INTERACTIONS
MENU:ALERT:Get out of the way!
END
saffron-city-rocket-wander1 rocket 29 15 WANDER
INTERACTIONS
MENU:ALERT:BOSS said he'll take this town!
END
saffron-city-rocket-wander2 rocket 40 20 WANDER
INTERACTIONS
MENU:ALERT:Ow! Watch where you're walking!
END
saffron-city-rocket-wander3 rocket 21 32 WANDER
INTERACTIONS
MENU:ALERT:Being evil makes me feel so alive!
END
saffron-city-rocket-wander4 rocket 25 38 WANDER
INTERACTIONS
MENU:ALERT:With SILPH under control, we can exploit POK{e-accent}MON around the world!
END
TELEPORT
6 25 route7-checkpoint 6 4
29 4 route5-checkpoint 3 6
29 45 route6-checkpoint 3 1
51 25 route8-checkpoint 1 4
DATA
76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76   1  76   1   3   2   3   2   3   2  55   3   3  55   3   2   3   2  56   5   1   0   1   1   1   1   1   1   3   2   3   2   3   2   3   2   3   2   3   2
76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76   1  76   1   2   3   2   3 102  71  71  71  71  71  71 103   2   3   2   3   1   0   1   1   1   1   1   1   2   3   2   3   2   3   2   3   2   3   2   3
76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76   1  76   1   3   2   3   2 104  68  68  68  68  68  68 105   3   2   3   2   1   0   1   1   1   1   1   1   3   2   3   2   3   2   3   2   3   2   3   2
76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76   1  76  56  56  56  56 108  65  65  65  63  64  65 109  56  56  56  56  76   1   1   1   1   1   1   1   2   3   2   3   2   3   2   3   2   3   2   3
76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76   1  76  55  55  55  55 110 164 164 164  15  58 164 112  55  55  55  55  76   1   1   1   1   1   1   1   3   2   3   2   3   2   3   2   3   2   3   2
76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76   1  76  93  93  93  93   1   1   1   1   1   1   1   1  93  93  93  93  76   1   1   1   1   1   1   1   2   3   2   3   2   3   2   3   2   3   2   3
76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76  76   1  76  94  94  94  94   1   1   1   1   1   1   1   1  94  94  94  94  76   1   1   1   1   1   1   1   3   2   3   2   3   2   3   2   3   2   3   2
76  76  76  76  76  76  76  76  76   1   1   1   1   1   1   1   1   1   1   1   0   1   1   1   1   1   1  56  56  56  56  70  71  71  71  71  72  70  71  71  71  71  71  71  72   2   3   2   3   2   3   2   3   2   3   2   3
76  76  76  76  76  76  76  76  76   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  56  56  56  56  67  68  68  68  68  69  67  68  68  68  68  68  68  69 575 576 576 577  76  76  76  76 165 106 106 106
76  76  76  76  76  76  76  76  76   0   1   2   3   2   3   2   3   2   3   2   3   2   3  56  56  56  56  56  56  56  56  61  62 100 101  62  66  61  62 100 101 100 101  62  66 578 579 580 581  76  76  76  76 158  96  96  96
76  76  76  76  76  76  76  76  76   0   1 575 576 576 577 575 576 576 577 575 576 576 577  56  56  56  56  56  56  56  56  57  58  58  58  15  60  57  58  58  58  58  58  15  60 586 587 587 588  76  76  76  76 158  96  96  96
76  76  76  76  76  76  76  76  76   0   1 578 579 580 581 582 583 584 585 578 579 580 581  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56  56   1   0  76  76  76  76 158  96  96  96
76  76  76  76  76  76  76  76  76   0   1 586 587 587 588 589  15 587 590 586 587 587 588  55  55  55   5  55  55  56  56  56  56  55  55  55   5  55  55  56  56  55  55  55   5  55  55   1   0  76  76  76  76 158  96  96  96
76  76  76  76  76  76  76  76  76   0   1 322 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 323 324   1   0  76  76  76  76 158  96  96  96
76  76  76  76  76  76  76  76  76   0   1 242 328 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 326 330 243   1   0  76  76  76  76 158  96  96  96
76  76  76  76  76  76  76  76  76   0   1 242 243   2   3   2   3   2   3   2   3   2   3   2   3  56  56  56  56  56  56  56  56 102  71  71 103   2   3   2   3   2   3   2   3 242 243   1   0   0   0   0   0 158  96  96  96
76  76  76  76  76  76  76  76  76   0   1 242 243 575 576 576 577 575 576 576 577 575 576 576 577  56  56  56  56  56  56  56  56 104  68  68 105 575 576 576 577 575 576 576 577 242 243   1   0   0   0   0   0 158  96  96  96
